logic,type,inputs,coverage,safety,final_score,protease,prot_spec,prot_cov,crit_rescued,crit_still_leak
(EPCAM OR VTCN1) AND MMP11,OR_AND_protease,3,0.5052188038825989,0.962573874513717,0.8256,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,
(DSC2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.5137530565261841,0.9283373446226826,0.8189,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,
(GPR180 OR EPCAM) AND MMP11,OR_AND_protease,3,0.48675864934921265,0.9512027825583383,0.8018,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,
(OPN3 OR EPCAM) AND MMP11,OR_AND_protease,3,0.48786377906799316,0.9482700856745888,0.8016,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,
(SLC26A2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.5179689526557922,0.878030461309005,0.8005,MMP11,0.6968,97.1,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,
(MSLN OR EPCAM) AND MMP11,OR_AND_protease,3,0.49627524614334106,0.9184747746842822,0.7967,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,
(TACSTD2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.5619090795516968,0.759793770193641,0.7919,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,
EPCAM,single,1,0.4680324196815491,0.5645457089715411,0.7088,,,,,
EPCAM OR VTCN1,OR,2,0.5052188038825989,0.562573874513717,0.6956,,,,,
DSC2 OR EPCAM,OR,2,0.5137530565261841,0.5283373446226826,0.6889,,,,,
DSC2 OR VTCN1,OR,2,0.3382588028907776,0.914921481980797,0.6847,,,,,
DSC2,single,1,0.23486554622650146,0.935610999207688,0.6391,,,,,
TMEM106B AND EPCAM,AND,2,0.20302075147628784,0.9866279697336369,0.5797,,,,,
BACE2 AND EPCAM,AND,2,0.2651140093803406,0.8058497329554112,0.5614,,,,,
