logic,type,inputs,coverage,escape_risk,specificity,leak_burden,leak_tissues,n_crit_leak,protease,prot_spec,prot_cov,crit_leak_before,crit_rescued,crit_still_leak,rescue_frac,safety,complexity_penalty,final_score
(EPCAM OR VTCN1) AND FAP,OR_AND_protease,3,0.5052188038825989,0.4947811961174011,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.962573874513717,0.1,0.8256
(EPCAM OR VTCN1) AND ADAM12,OR_AND_protease,3,0.5052188038825989,0.4947811961174011,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.962573874513717,0.1,0.8256
(EPCAM OR VTCN1) AND MMP11,OR_AND_protease,3,0.5052188038825989,0.4947811961174011,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.962573874513717,0.1,0.8256
(DSC2 OR EPCAM) AND FAP,OR_AND_protease,3,0.5137530565261841,0.4862469434738159,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9283373446226826,0.1,0.8189
(DSC2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.5137530565261841,0.4862469434738159,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9283373446226826,0.1,0.8189
(DSC2 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.5137530565261841,0.4862469434738159,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9283373446226826,0.1,0.8189
(GPR180 OR EPCAM) AND FAP,OR_AND_protease,3,0.48675864934921265,0.5132413506507874,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9512027825583383,0.1,0.8018
(GPR180 OR EPCAM) AND MMP11,OR_AND_protease,3,0.48675864934921265,0.5132413506507874,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9512027825583383,0.1,0.8018
(GPR180 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.48675864934921265,0.5132413506507874,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9512027825583383,0.1,0.8018
(OPN3 OR EPCAM) AND FAP,OR_AND_protease,3,0.48786377906799316,0.5121362209320068,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9482700856745888,0.1,0.8016
