gene,family,enzyme_class,cellular_location,tumor_role,layer,inhibitor_family,spec_tme_tpm,spec_normal_max_tpm,spec_normal_max_tissue,spec_ratio_log2,spec_score_ACTIVITY_PROXY,inhibitor_penalty,inter_cov_pct_patients,inter_cov_threshold_tpm,tissue_vector_id,tox_load,intra_cov_NOT_APPLICABLE,inhibitor_penalty_minmax_OLD,inhibitor_penalty_method,inter_cov_pct_patients_OLD_50,toil_tnbc_tpm,toil_normal_max_tpm,toil_tumor_norm_ratio,toil_n_normal_active_gt10,toil_gini_normal,toil_housekeeping_flag
MMP1,MMP,metallo,secreted,"collagenase, invasion",protease,TIMP1-4,495.826,51.8537,Cells_Cultured_fibroblasts,3.23266429945936,0.5816,0.972,64.3,250,,75.79925895000001,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,84.2,11.98,3.27,2.807,0.0,0.78,False
MMP2,MMP,metallo,secreted,"gelatinase A, basement membrane",protease,TIMP1-4,5307.53,908.423,Cells_Cultured_fibroblasts,2.545289019071469,0.2318,0.766,99.4,250,,12490.0872785,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,,,,,,
MMP3,MMP,metallo,secreted,stromelysin,protease,TIMP1-4,161.372,176.91099999999997,Minor_Salivary_Gland,-0.1318528427210289,0.2808,0.991,39.8,250,,451.9941244000001,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,79.5,,,,,,
MMP7,MMP,metallo,secreted,"matrilysin, epithelial",protease,TIMP1-4,4110.28,251.007,Minor_Salivary_Gland,4.028051917297743,0.5278,0.809,90.6,250,,1056.2796852,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,97.7,170.9,90.76,1.862,8.0,0.818,False
MMP9,MMP,metallo,secreted,"gelatinase B, angiogenesis",protease,TIMP1-4,2046.01,550.477,Whole_Blood,1.8921455273124483,0.282,0.895,94.2,250,,1711.2377144999998,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,99.4,,,,,,
MMP11,MMP,metallo,secreted,"stromelysin-3, stromal",protease,TIMP1-4,2513.83,35.2391,Cervix_Endocervix,6.116769941935656,0.6968,0.874,97.1,250,,284.0455645,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,51.46,11.11,4.248,1.0,0.485,False
MMP13,MMP,metallo,secreted,collagenase-3,protease,TIMP1-4,173.86,0.64282,Pituitary,6.733882077713251,0.7412,0.99,38.6,250,,2.0632278000000004,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,74.3,2.76,0.32,2.098,0.0,0.868,False
MMP14,MMP,metallo,membrane,"MT1-MMP, membrane-anchored",protease,TIMP1-4,7959.56,620.192,Cells_Cultured_fibroblasts,3.6797587680738286,0.3535,0.686,100.0,250,,7967.3003800000015,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,,,,,,
MMP15,MMP,metallo,membrane,MT2-MMP,protease,TIMP1-4,637.444,93.6931,Thyroid,2.7532288721936475,0.3819,0.965,84.8,250,,1467.9338374999998,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,,,,,,
MMP16,MMP,metallo,membrane,MT3-MMP,protease,TIMP1-4,36.7782,4.46208,Artery_Aorta,2.790031614246809,0.5266,0.998,9.9,250,,160.347969395,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,42.1,0.35,1.36,0.146,0.0,0.509,False
PLAU,serine,serine,secreted/membrane,"uPA, plasminogen activation",protease,SERPIN,1623.85,117.943,Kidney_Medulla,3.7719642658533914,0.4537,0.871,98.8,250,,1583.4866059999997,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,32.55,26.58,1.18,8.0,0.441,False
PLAT,serine,serine,secreted,tPA,protease,SERPIN,634.544,102.931,Nerve_Tibial,2.6123659713604557,0.3017,0.945,80.7,250,,3448.1114620000003,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,99.4,,,,,,
CTSB,cysteine,cysteine,lysosomal/secreted,"cathepsin B, invasion",protease,Cystatin(CST),22043.3,1137.27,Thyroid,4.275490952396117,0.4249,0.265,100.0,250,,19421.382099999995,gating role — no intratumoral coverage,0.92,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,,,,,,
CTSL,cysteine,cysteine,lysosomal/secreted,cathepsin L,protease,Cystatin(CST),2386.53,426.45,Cells_Cultured_fibroblasts,2.4816912821590256,0.2531,0.769,100.0,250,,7608.9383605,gating role — no intratumoral coverage,0.92,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,,,,,,
CTSS,cysteine,cysteine,lysosomal/secreted,"cathepsin S, immune",protease,Cystatin(CST),2405.98,294.175,Whole_Blood,3.027581712388464,0.3878,0.768,99.4,250,,2295.972055,gating role — no intratumoral coverage,0.92,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,,,,,,
CTSK,cysteine,cysteine,lysosomal/secreted,cathepsin K,protease,Cystatin(CST),2087.01,669.8910000000001,Cervix_Ectocervix,1.6379783261658356,0.2045,0.792,98.2,250,,6282.811400000002,gating role — no intratumoral coverage,0.92,inhibitor/(protease+inhibitor) TME median RSEM ratio,99.4,,,,,,
CTSD,aspartic,aspartic,lysosomal/secreted,"cathepsin D, breast cancer",protease,—,21813.7,1571.01,Adrenal_Gland,3.7946183334985175,0.4033,0.0,100.0,250,,49600.7425,gating role — no intratumoral coverage,0.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,,,,,,
ADAM17,ADAM,metallo,membrane,"TACE, sheddase",protease,TIMP1-4,1004.21,30.3084,Cells_Cultured_fibroblasts,5.004803336195282,0.5588,0.945,98.8,250,,996.67875,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,12.92,17.15,0.712,2.0,0.305,True
ADAM10,ADAM,metallo,membrane,"sheddase, Notch",protease,TIMP1-4,1257.97,36.4784,Cells_Cultured_fibroblasts,5.070040731409449,0.5661,0.933,97.7,250,,1063.33734,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,23.42,52.47,0.438,21.0,0.306,True
ADAM12,ADAM,metallo,membrane,breast cancer stroma,protease,TIMP1-4,985.021,31.6534,Cells_Cultured_fibroblasts,4.916313249278431,0.6592,0.946,90.1,250,,103.5526171,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,99.4,5.72,4.3,1.079,0.0,0.652,False
ADAMTS1,ADAMTS,metallo,secreted,angiogenesis,protease,TIMP1-4,953.055,759.0939999999999,Ovary,0.3278945919564208,0.1043,0.948,97.7,250,,9231.773773,gating role — no intratumoral coverage,1.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,,,,,,
FAP,serine,serine,membrane,"fibroblast activation protein, CAF",protease,SERPIN,569.797,111.364,Cells_Cultured_fibroblasts,2.3447978639032594,0.4078,0.951,77.2,250,,379.7655712499998,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,98.2,12.45,38.47,0.315,3.0,0.633,False
TMPRSS4,serine,serine,membrane,transmembrane serine,protease,SERPIN,12.1865,72.719,Esophagus_Mucosa,-2.482974809912879,0.2863,0.999,11.1,250,,313.5942689099999,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,30.4,,,,,,
ST14,serine,serine,membrane,"matriptase, epithelial",protease,SERPIN,5245.81,158.342,Esophagus_Mucosa,5.041242053946525,0.5234,0.677,100.0,250,,2361.051677,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,100.0,70.89,69.07,1.012,13.0,0.634,True
HPSE,glycosidase,other,secreted,"heparanase, ECM",protease,—,78.726,17.2534,Whole_Blood,2.126885073235188,0.5767,0.0,4.1,250,,236.5081539,gating role — no intratumoral coverage,0.0,inhibitor/(protease+inhibitor) TME median RSEM ratio,73.1,2.87,8.32,0.308,0.0,0.534,False
KLK5,serine,serine,secreted,kallikrein-5,protease,SERPIN,665.399,317.582,Skin_Sun_Exposed_Lower_leg,1.0647214794270674,0.3299,0.943,59.1,250,,733.62697895,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,74.3,,,,,,
KLK6,serine,serine,secreted,kallikrein-6,protease,SERPIN,594.193,380.4980000000001,Brain_Spinal_cord_cervical_c-1,0.6416820654033634,0.2237,0.949,62.6,250,,2055.4982100999996,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,74.9,,,,,,
KLK7,serine,serine,secreted,kallikrein-7,protease,SERPIN,218.769,269.282,Skin_Sun_Exposed_Lower_leg,-0.2984775376376657,0.2454,0.98,47.4,250,,954.0299990999998,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,67.3,,,,,,
GZMB,serine,serine,secreted,granzyme B,protease,SERPIN,98.6974,71.4456,Whole_Blood,0.4606578111616034,0.331,0.991,31.6,250,,329.2638425,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,66.1,,,,,,
PRSS3,serine,serine,secreted,mesotrypsin,protease,SERPIN,11.9339,1853.34,Pancreas,-7.163604620215963,0.0925,0.999,1.2,250,,5626.1381334,gating role — no intratumoral coverage,0.953,inhibitor/(protease+inhibitor) TME median RSEM ratio,19.3,,,,,,
